TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
1,Manual,TC01_Verify Contractors Equipment Form ZC 6356 Display_Inland Marine_New Business_R1,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 is displayed with correct version and edition date in the Inland Marine LOB for new business submissions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen with all required fields,Inland Marine/CAMS-1863 Form Display,Done,Middle Market,CAMS-1863,High,Positive
1,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully and proceed to line selection,,,,,,
1,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen with all mandatory fields displayed,,,,,,
1,,,,4. Verify form ZC 6356 is listed in the coverage options,4. User should verify that form ZC 6356 is available and selectable in the Contractors Equipment coverage options,,,,,,
1,,,,"5. Verify form edition date is ""03/25""","5. User should verify that the form edition date displays as ""03/25"" (March 2025 edition)",,,,,,
1,,,,6. Verify form version information is correctly displayed,6. User should verify that form version and edition date are properly displayed with correct metadata,,,,,,
2,Manual,TC02_Verify Form ZC 6356 Auto-Attachment on Selection_Inland Marine_New Business_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 is automatically attached to the document when user selects the coverage,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
2,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
2,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen,,,,,,
2,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be automatically added to the documents section,,,,,,
2,,,,5. Navigate to documents section,5. User should be able to view the documents section with attached forms,,,,,,
2,,,,6. Verify that form ZC 6356 is attached with latest version,6. User should verify that the attached form is the latest 03/25 edition and not the old version,,,,,,
2,,,,7. Verify form versioning information,7. User should verify that form metadata displays correct version and edition date information,,,,,,
3,Manual,TC03_Verify Form ZC 6356 Latest Edition in Payload_Inland Marine_New Business_R1,The objective of this test case is to validate that the latest 03/25 edition form ZC 6356 is sent in the payload to the backend system,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Payload,Done,Middle Market,CAMS-1863,High,Positive
3,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
3,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen with all fields,,,,,,
3,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be selected,,,,,,
3,,,,"5. Verify the edition date in system payload is ""03/25""","5. System should send the form with edition date ""03/25"" in the API payload",,,,,,
3,,,,6. Verify form metadata in payload,6. The payload should include correct form versioning information and metadata,,,,,,
4,Manual,TC04_Verify Form ZC 6356 in Policy Change Inception_Inland Marine_Policy Change_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with latest version is correctly handled during policy change inception transactions,1. Navigate to existing policy for modification,1. User should be able to access the existing policy,Inland Marine/CAMS-1863 Policy Change,Done,Middle Market,CAMS-1863,High,Positive
4,,,,2. Initiate a Policy Change Inception transaction for Inland Marine LOB,2. User should be able to create a policy change inception submission,,,,,,
4,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen,,,,,,
4,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be available for selection,,,,,,
4,,,,5. Verify form version is the latest 03/25 edition,5. User should verify that the form is the latest 03/25 edition,,,,,,
4,,,,6. Verify form attachment in documents,6. The latest form should be automatically attached to the documents,,,,,,
5,Manual,TC05_Verify Form ZC 6356 in Policy Change Midterm_Inland Marine_Policy Change_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with latest version is correctly handled during policy change midterm transactions,1. Navigate to existing policy for modification,1. User should be able to access the existing policy,Inland Marine/CAMS-1863 Policy Change Midterm,Done,Middle Market,CAMS-1863,High,Positive
5,,,,2. Initiate a Policy Change Midterm transaction for Inland Marine LOB,2. User should be able to create a policy change midterm submission,,,,,,
5,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen,,,,,,
5,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be available for selection,,,,,,
5,,,,5. Verify form version is the latest 03/25 edition,5. User should verify that the form is the latest 03/25 edition,,,,,,
5,,,,6. Verify form attachment in documents,6. The latest form should be automatically attached to the documents,,,,,,
6,Manual,TC06_Verify Form ZC 6356 in Cancel Flat Transaction_Inland Marine_Cancel_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with latest version is correctly handled during cancel flat transactions,1. Navigate to existing policy for cancellation,1. User should be able to access the existing policy,Inland Marine/CAMS-1863 Cancel Transaction,Done,Middle Market,CAMS-1863,Medium,Positive
6,,,,2. Initiate a Cancel Flat transaction for Inland Marine LOB,2. User should be able to create a cancel flat submission,,,,,,
6,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen with existing coverages,,,,,,
6,,,,4. Verify form ZC 6356 is displayed with latest version,4. Form ZC 6356 should be displayed with the latest 03/25 edition,,,,,,
6,,,,5. Verify form attachment in documents,5. The form should be displayed with correct version metadata,,,,,,
7,Manual,TC07_Verify Form ZC 6356 in Cancel Pro-Rata Transaction_Inland Marine_Cancel_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with latest version is correctly handled during cancel pro-rata transactions,1. Navigate to existing policy for cancellation,1. User should be able to access the existing policy,Inland Marine/CAMS-1863 Cancel Pro Rata,Done,Middle Market,CAMS-1863,Medium,Positive
7,,,,2. Initiate a Cancel Pro-Rata transaction for Inland Marine LOB,2. User should be able to create a cancel pro-rata submission,,,,,,
7,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen with existing coverages,,,,,,
7,,,,4. Verify form ZC 6356 is displayed with latest version,4. Form ZC 6356 should be displayed with the latest 03/25 edition,,,,,,
7,,,,5. Verify form attachment in documents,5. The form should be displayed with correct version metadata,,,,,,
8,Manual,TC08_Verify Form ZC 6356 in Reinstatement Transaction_Inland Marine_Reinstatement_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with latest version is correctly handled during reinstatement transactions,1. Navigate to cancelled policy for reinstatement,1. User should be able to access the cancelled policy,Inland Marine/CAMS-1863 Reinstatement,Done,Middle Market,CAMS-1863,High,Positive
8,,,,2. Initiate a Reinstatement transaction for Inland Marine LOB,2. User should be able to create a reinstatement submission,,,,,,
8,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen with original coverages,,,,,,
8,,,,4. Verify form ZC 6356 is displayed with latest version,4. Form ZC 6356 should be displayed with the latest 03/25 edition,,,,,,
8,,,,5. Verify form attachment in documents,5. The form should be automatically attached with correct version,,,,,,
9,Manual,TC09_Verify Form ZC 6356 in Rewrite Full Term Transaction_Inland Marine_Rewrite_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with latest version is correctly handled during rewrite full term transactions,1. Navigate to existing policy for rewrite,1. User should be able to access the existing policy,Inland Marine/CAMS-1863 Rewrite,Done,Middle Market,CAMS-1863,High,Positive
9,,,,2. Initiate a Rewrite Full Term transaction for Inland Marine LOB,2. User should be able to create a rewrite full term submission,,,,,,
9,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen,,,,,,
9,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be available for selection,,,,,,
9,,,,5. Verify form version is the latest 03/25 edition,5. User should verify that the form is the latest 03/25 edition,,,,,,
9,,,,6. Verify form attachment in documents,6. The latest form should be automatically attached to the documents,,,,,,
10,Manual,TC10_Verify Form ZC 6356 in Produced Scope_Inland Marine_New Business_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with latest version is correctly handled in Produced scope submissions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Produced Scope,Done,Middle Market,CAMS-1863,High,Positive
10,,,,2. Create a Produced scope submission with Inland Marine LOB,2. User should be able to create a Produced scope submission successfully,,,,,,
10,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen,,,,,,
10,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be available for selection in Produced scope,,,,,,
10,,,,5. Verify form version is the latest 03/25 edition,5. User should verify that the form is the latest 03/25 edition,,,,,,
10,,,,6. Verify form attachment in documents,6. The latest form should be automatically attached to the documents,,,,,,
11,Manual,TC11_Verify Form Edition Date Display_Inland Marine_New Business_R1_R3,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 displays the correct edition date of 03/25 and is aligned with August release date,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Edition Date,Done,Middle Market,CAMS-1863,High,Positive
11,,,,2. Create a Domestic submission with effective date in August or later,2. User should be able to create a submission with August effective date,,,,,,
11,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen,,,,,,
11,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be selected,,,,,,
11,,,,"5. Verify displayed edition date is ""03/25""","5. The form should display edition date as ""03/25"" on the UI",,,,,,
11,,,,6. Verify edition date in form metadata,"6. The form metadata should confirm edition date is ""03/25"" (March 2025)",,,,,,
