TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
1,Manual,TC01_Verify Contractors Equipment Form ZC 6356 Display in Inland Marine_Inland Marine_New Business_R1,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 is displayed with correct version and edition date in the Inland Marine LOB for new business submissions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen with all required fields,Inland Marine/CAMS-1864 Form Display,Done,Middle Market,CAMS-1864,High,Positive
1,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully and proceed to line selection,,,,,,
1,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen with all mandatory fields displayed,,,,,,
1,,,,4. Verify form ZC 6356 is listed in the coverage options,4. User should verify that form ZC 6356 is available and selectable in the Contractors Equipment coverage options,,,,,,
1,,,,"5. Verify form edition date is ""03/25""","5. User should verify that the form edition date displays as ""03/25"" (March 2025 edition)",,,,,,
1,,,,6. Verify form version information is correctly displayed,6. User should verify that form version and edition date are properly displayed with correct metadata,,,,,,
2,Manual,TC02_Verify Form ZC 6356 Auto-Attachment on Selection_Inland Marine_New Business_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 is automatically attached to the document when user selects the coverage,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Form Attachment,Done,Middle Market,CAMS-1864,High,Positive
2,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
2,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen,,,,,,
2,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be automatically added to the documents section,,,,,,
2,,,,5. Navigate to documents section,5. User should be able to view the documents section with attached forms,,,,,,
2,,,,6. Verify that form ZC 6356 is attached with latest version,6. User should verify that the attached form is the latest 03/25 edition and not the old version,,,,,,
2,,,,7. Verify form versioning information,7. User should verify that form metadata displays correct version and edition date information,,,,,,
3,Manual,TC03_Verify Form ZC 6356 Latest Edition in Payload_Inland Marine_New Business_R3,The objective of this test case is to validate that the latest 03/25 edition form ZC 6356 is sent in the payload to the backend system,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Form Payload,Done,Middle Market,CAMS-1864,High,Positive
3,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
3,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen with all fields,,,,,,
3,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be selected,,,,,,
3,,,,"5. Verify the edition date in system payload is ""03/25""","5. System should send the form with edition date ""03/25"" in the API payload",,,,,,
3,,,,6. Verify form metadata in payload,6. The payload should include correct form versioning information and metadata,,,,,,
4,Manual,TC04_Verify Form ZC 6356 Display in Produced Scope_Inland Marine_New Business_R1,The objective of this test case is to validate that the form ZC 6356 displays correctly with proper versioning in Produced scope submissions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Produced Scope,Done,Middle Market,CAMS-1864,High,Positive
4,,,,2. Create a Produced scope submission with Inland Marine LOB,2. User should be able to create a produced submission successfully,,,,,,
4,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen,,,,,,
4,,,,4. Verify form ZC 6356 is available for Produced scope,4. User should verify that form ZC 6356 is available for selection in Produced scope,,,,,,
4,,,,"5. Verify edition date is ""03/25"" in Produced scope","5. User should verify form edition date displays as ""03/25"" for Produced scope submission",,,,,,
5,Manual,TC05_Verify Form ZC 6356 Auto-Attachment in Produced Scope_Inland Marine_New Business_R2,The objective of this test case is to validate that the latest form ZC 6356 is automatically attached in Produced scope submissions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Produced Auto-Attach,Done,Middle Market,CAMS-1864,High,Positive
5,,,,2. Create a Produced scope submission with Inland Marine LOB,2. User should be able to create a produced submission successfully,,,,,,
5,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen,,,,,,
5,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be automatically added to documents with latest version,,,,,,
5,,,,5. Verify attached form version in documents,5. User should verify the attached form is 03/25 edition,,,,,,
6,Manual,TC06_Verify Form ZC 6356 Latest Edition in Produced Payload_Inland Marine_New Business_R3,The objective of this test case is to validate that the latest 03/25 edition is sent in payload for Produced scope submissions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Produced Payload,Done,Middle Market,CAMS-1864,High,Positive
6,,,,2. Create a Produced scope submission with Inland Marine LOB,2. User should be able to create a produced submission successfully,,,,,,
6,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen,,,,,,
6,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be selected,,,,,,
6,,,,"5. Verify payload contains edition date ""03/25""","5. System should send the form with edition date ""03/25"" in the API payload for Produced scope",,,,,,
7,Manual,TC07_Verify Form ZC 6356 Display in Policy Change Transaction_Inland Marine_Policy Change_R1,The objective of this test case is to validate that form ZC 6356 displays with correct versioning during policy change transactions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Policy Change,Done,Middle Market,CAMS-1864,High,Positive
7,,,,2. Create a Domestic submission with Inland Marine LOB for policy change,2. User should be able to create a policy change submission successfully,,,,,,
7,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen with policy change options,,,,,,
7,,,,4. Verify form ZC 6356 is available for policy change scenario,4. User should verify that form ZC 6356 is available and selectable,,,,,,
7,,,,"5. Verify edition date displays as ""03/25""","5. User should verify form edition date is ""03/25""",,,,,,
8,Manual,TC08_Verify Form ZC 6356 Auto-Attachment in Policy Change_Inland Marine_Policy Change_R2,The objective of this test case is to validate that form ZC 6356 is automatically attached in policy change transactions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 PolicyChange Attach,Done,Middle Market,CAMS-1864,High,Positive
8,,,,2. Create a Domestic submission with Inland Marine LOB for policy change,2. User should be able to create a policy change submission successfully,,,,,,
8,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
8,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be automatically added to documents,,,,,,
8,,,,5. Navigate to documents section,5. User should be able to view documents with attached form ZC 6356,,,,,,
8,,,,6. Verify attachment version is 03/25 edition,6. User should verify the attached form is the latest 03/25 edition,,,,,,
9,Manual,TC09_Verify Form ZC 6356 Payload in Policy Change_Inland Marine_Policy Change_R3,The objective of this test case is to validate that form ZC 6356 is sent with correct version in policy change payload,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 PolicyChange Payload,Done,Middle Market,CAMS-1864,High,Positive
9,,,,2. Create a Domestic submission with Inland Marine LOB for policy change,2. User should be able to create a policy change submission successfully,,,,,,
9,,,,3. Navigate to Inland Marine screen and select Contractors Equipment,3. User should be able to view the Inland Marine screen,,,,,,
9,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be selected,,,,,,
9,,,,"5. Verify payload contains edition date ""03/25""","5. System should send form with edition date ""03/25"" in the policy change payload",,,,,,
10,Manual,TC10_Verify Form ZC 6356 Display in Cancel Transaction_Inland Marine_Cancel_R1,The objective of this test case is to validate that form ZC 6356 displays correctly in cancel transactions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Cancel Display,Done,Middle Market,CAMS-1864,High,Positive
10,,,,2. Create a Domestic submission with Inland Marine LOB for cancel transaction,2. User should be able to create a cancel transaction successfully,,,,,,
10,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen with cancel options,,,,,,
